


atom_par,H,2.00,0.020,0.0000,0.00051,0.0,0.0,0,-1,-1,3,H
atom_par,HD,2.00,0.020,0.0000,0.00051,0.0,0.0,2,-1,-1,3,H
atom_par,HS,2.00,0.020,0.0000,0.00051,0.0,0.0,1,-1,-1,3,H
atom_par,C,4.00,0.150,33.5103,-0.00143,0.0,0.0,0,-1,-1,0,C
atom_par,A,4.00,0.150,33.5103,-0.00052,0.0,0.0,0,-1,-1,0,C
atom_par,N,3.50,0.160,22.4493,-0.00162,0.0,0.0,0,-1,-1,1,N
atom_par,NA,3.50,0.160,22.4493,-0.00162,1.9,5.0,4,-1,-1,1,N
atom_par,NS,3.50,0.160,22.4493,-0.00162,1.9,5.0,3,-1,-1,1,N
atom_par,OA,3.20,0.200,17.1573,-0.00251,1.9,5.0,5,-1,-1,2,O
atom_par,OS,3.20,0.200,17.1573,-0.00251,1.9,5.0,3,-1,-1,2,O
atom_par,F,3.09,0.080,15.4480,-0.00110,0.0,0.0,0,-1,-1,4,F
atom_par,Mg,1.30,0.875,1.5600,-0.00110,0.0,0.0,0,-1,-1,4,Mg
atom_par,MG,1.30,0.875,1.5600,-0.00110,0.0,0.0,0,-1,-1,4,Mg
atom_par,P,4.20,0.200,38.7924,-0.00110,0.0,0.0,0,-1,-1,5,P
atom_par,SA,4.00,0.200,33.5103,-0.00214,2.5,1.0,5,-1,-1,6,S
atom_par,S,4.00,0.200,33.5103,-0.00214,0.0,0.0,0,-1,-1,6,S
atom_par,Cl,4.09,0.276,35.8235,-0.00110,0.0,0.0,0,-1,-1,4,Cl
atom_par,CL,4.09,0.276,35.8235,-0.00110,0.0,0.0,0,-1,-1,4,Cl
atom_par,Ca,1.98,0.550,2.7700,-0.00110,0.0,0.0,0,-1,-1,4,Ca
atom_par,CA,1.98,0.550,2.7700,-0.00110,0.0,0.0,0,-1,-1,4,Ca
atom_par,Mn,1.30,0.875,2.1400,-0.00110,0.0,0.0,0,-1,-1,4,Mn
atom_par,MN,1.30,0.875,2.1400,-0.00110,0.0,0.0,0,-1,-1,4,Mn
atom_par,Fe,1.30,0.010,1.8400,-0.00110,0.0,0.0,0,-1,-1,4,Fe
atom_par,FE,1.30,0.010,1.8400,-0.00110,0.0,0.0,0,-1,-1,4,Fe
atom_par,Zn,1.48,0.550,1.7000,-0.00110,0.0,0.0,0,-1,-1,4,Zn
atom_par,ZN,1.48,0.550,1.7000,-0.00110,0.0,0.0,0,-1,-1,4,Zn
atom_par,Br,4.33,0.389,42.5661,-0.00110,0.0,0.0,0,-1,-1,4,Br
atom_par,BR,4.33,0.389,42.5661,-0.00110,0.0,0.0,0,-1,-1,4,Br
atom_par,I,4.72,0.550,55.0585,-0.00110,0.0,0.0,0,-1,-1,4,I
atom_par,Z,4.00,0.150,33.5103,-0.00143,0.0,0.0,0,-1,-1,0,D
atom_par,G,4.00,0.150,33.5103,-0.00143,0.0,0.0,0,-1,-1,0,D
atom_par,GA,4.00,0.150,33.5103,-0.00052,0.0,0.0,0,-1,-1,0,D
atom_par,J,4.00,0.150,33.5103,-0.00143,0.0,0.0,0,-1,-1,0,D
atom_par,Q,4.00,0.150,33.5103,-0.00143,0.0,0.0,0,-1,-1,0,D
atom_par,W,0.00,0.200,00.0000,-0.00000,0.0,0.0,0,-1,-1,2,O
